fecha,cp,minsplit,minbucket,maxdepth,ganancia
20210829 164832,-1,10,1,4,3202500
20210829 164911,-1,10,2,4,3203750
20210829 164957,-1,10,3,4,3200000
20210829 165043,-1,10,4,4,2966250
20210829 165129,-1,10,5,4,2965000
20210829 165220,-1,15,1,4,3202500
20210829 165311,-1,15,2,4,3203750
20210829 165356,-1,15,3,4,3200000
20210829 165443,-1,15,4,4,2966250
20210829 165531,-1,15,5,4,2965000
20210829 165619,-1,15,7,4,3317500
20210829 165706,-1,20,1,4,3202500
20210829 165750,-1,20,2,4,3203750
20210829 165835,-1,20,3,4,3200000
20210829 165917,-1,20,4,4,2966250
20210829 170000,-1,20,5,4,2965000
20210829 170047,-1,20,6,4,3202500
20210829 170136,-1,20,10,4,3582500
20210829 170234,-1,30,1,4,3198750
20210829 170320,-1,30,2,4,3200000
20210829 170406,-1,30,3,4,3196250
20210829 170455,-1,30,4,4,2962500
20210829 170539,-1,30,5,4,2965000
20210829 170629,-1,30,6,4,3197500
20210829 170712,-1,30,10,4,3582500
20210829 170802,-1,30,15,4,3582500
20210829 170848,-1,50,1,4,3198750
20210829 170934,-1,50,2,4,3200000
20210829 171019,-1,50,3,4,3196250
20210829 171103,-1,50,4,4,2962500
20210829 171147,-1,50,5,4,2965000
20210829 171236,-1,50,10,4,3582500
20210829 171320,-1,50,16,4,3582500
20210829 171405,-1,50,25,4,3627500
20210829 171449,-1,100,1,4,3193750
20210829 171536,-1,100,2,4,3195000
20210829 171620,-1,100,3,4,3191250
20210829 171706,-1,100,4,4,2957500
20210829 171749,-1,100,5,4,2965000
20210829 171832,-1,100,10,4,3582500
20210829 171915,-1,100,20,4,3580000
20210829 171958,-1,100,33,4,3666250
20210829 172041,-1,100,50,4,3648750
20210829 172123,-1,150,1,4,3193750
20210829 172209,-1,150,2,4,3195000
20210829 172252,-1,150,3,4,3191250
20210829 172337,-1,150,4,4,2957500
20210829 172422,-1,150,5,4,2965000
20210829 172505,-1,150,15,4,3582500
20210829 172548,-1,150,30,4,3620000
20210829 172631,-1,150,50,4,3648750
20210829 172713,-1,150,75,4,3615000
20210829 172756,-1,200,1,4,3193750
20210829 172839,-1,200,2,4,3195000
20210829 172925,-1,200,3,4,3191250
20210829 173014,-1,200,4,4,2957500
20210829 173111,-1,200,5,4,2965000
20210829 173203,-1,200,20,4,3580000
20210829 173255,-1,200,40,4,3671250
20210829 173339,-1,200,66,4,3755000
20210829 173422,-1,200,100,4,3803750
20210829 173513,-1,10,1,5,3852500
20210829 173603,-1,10,2,5,3478750
20210829 173652,-1,10,3,5,3477500
20210829 173743,-1,10,4,5,3406250
20210829 173834,-1,10,5,5,3368750
20210829 173923,-1,15,1,5,3852500
20210829 174012,-1,15,2,5,3478750
20210829 174103,-1,15,3,5,3477500
20210829 174157,-1,15,4,5,3406250
20210829 174245,-1,15,5,5,3368750
20210829 174334,-1,15,7,5,3665000
20210829 174423,-1,20,1,5,3852500
20210829 174514,-1,20,2,5,3478750
20210829 174605,-1,20,3,5,3477500
20210829 174654,-1,20,4,5,3406250
20210829 174744,-1,20,5,5,3368750
20210829 174833,-1,20,6,5,3425000
20210829 174923,-1,20,10,5,3802500
20210829 175013,-1,30,1,5,3843750
20210829 175103,-1,30,2,5,3470000
20210829 175159,-1,30,3,5,3468750
20210829 175248,-1,30,4,5,3397500
20210829 175338,-1,30,5,5,3365000
20210829 175427,-1,30,6,5,3502500
20210829 175516,-1,30,10,5,3796250
20210829 175606,-1,30,15,5,3870000
20210829 175654,-1,50,1,5,3843750
20210829 175745,-1,50,2,5,3470000
20210829 175834,-1,50,3,5,3468750
20210829 175924,-1,50,4,5,3397500
20210829 180015,-1,50,5,5,3365000
20210829 180107,-1,50,10,5,3788750
20210829 180202,-1,50,16,5,3870000
20210829 180256,-1,50,25,5,3983750
20210829 180348,-1,100,1,5,3838750
20210829 180439,-1,100,2,5,3465000
20210829 180531,-1,100,3,5,3463750
20210829 180628,-1,100,4,5,3393750
20210829 180717,-1,100,5,5,3368750
20210829 180812,-1,100,10,5,3792500
20210829 180902,-1,100,20,5,4013750
20210829 180955,-1,100,33,5,4085000
20210829 181044,-1,100,50,5,3992500
20210829 181133,-1,150,1,5,3808750
20210829 181232,-1,150,2,5,3435000
20210829 181321,-1,150,3,5,3433750
20210829 181413,-1,150,4,5,3363750
20210829 181507,-1,150,5,5,3338750
20210829 181603,-1,150,15,5,3845000
20210829 181658,-1,150,30,5,3976250
20210829 181751,-1,150,50,5,3992500
20210829 181840,-1,150,75,5,3637500
20210829 181929,-1,200,1,5,3807500
20210829 182018,-1,200,2,5,3433750
20210829 182107,-1,200,3,5,3433750
20210829 182159,-1,200,4,5,3363750
20210829 182249,-1,200,5,5,3338750
20210829 182343,-1,200,20,5,3963750
20210829 182433,-1,200,40,5,4046250
20210829 182524,-1,200,66,5,3747500
20210829 182613,-1,200,100,5,3578750
20210829 182710,-1,10,1,6,3677500
20210829 182807,-1,10,2,6,4203750
20210829 182903,-1,10,3,6,3998750
20210829 183003,-1,10,4,6,3908750
20210829 183117,-1,10,5,6,4012500
20210829 183227,-1,15,1,6,3676250
20210829 183324,-1,15,2,6,4202500
20210829 183422,-1,15,3,6,3997500
20210829 183521,-1,15,4,6,3903750
20210829 183622,-1,15,5,6,4002500
20210829 183722,-1,15,7,6,3838750
20210829 183820,-1,20,1,6,3718750
20210829 183919,-1,20,2,6,4200000
20210829 184019,-1,20,3,6,3993750
20210829 184118,-1,20,4,6,3982500
20210829 184221,-1,20,5,6,4083750
20210829 184319,-1,20,6,6,3998750
20210829 184417,-1,20,10,6,3978750
20210829 184516,-1,30,1,6,3707500
20210829 184616,-1,30,2,6,4188750
20210829 184713,-1,30,3,6,3982500
20210829 184811,-1,30,4,6,4015000
20210829 184908,-1,30,5,6,4117500
20210829 185005,-1,30,6,6,4113750
20210829 185102,-1,30,10,6,4010000
20210829 185203,-1,30,15,6,3868750
20210829 185258,-1,50,1,6,3707500
20210829 185354,-1,50,2,6,4188750
20210829 185449,-1,50,3,6,3982500
20210829 185544,-1,50,4,6,4061250
20210829 185639,-1,50,5,6,4112500
20210829 185735,-1,50,10,6,4043750
20210829 185831,-1,50,16,6,3908750
20210829 185927,-1,50,25,6,3763750
20210829 190021,-1,100,1,6,3697500
20210829 190120,-1,100,2,6,4178750
20210829 190224,-1,100,3,6,3972500
20210829 190318,-1,100,4,6,4046250
20210829 190415,-1,100,5,6,4105000
20210829 190512,-1,100,10,6,4142500
20210829 190608,-1,100,20,6,3788750
20210829 190705,-1,100,33,6,3935000
20210829 192841,-1,100,50,6,4090000
20210829 193006,-1,150,1,6,3666250
20210829 193122,-1,150,2,6,4147500
20210829 193246,-1,150,3,6,3942500
20210829 193402,-1,150,4,6,4005000
20210829 193519,-1,150,5,6,4063750
20210829 193636,-1,150,15,6,3878750
20210829 193753,-1,150,30,6,3750000
20210829 193911,-1,150,50,6,3987500
20210829 194032,-1,150,75,6,3443750
20210829 194149,-1,200,1,6,3665000
20210829 194308,-1,200,2,6,4146250
20210829 194427,-1,200,3,6,3942500
20210829 194539,-1,200,4,6,4005000
20210829 194651,-1,200,5,6,4063750
20210829 194803,-1,200,20,6,3728750
20210829 194915,-1,200,40,6,3893750
20210829 195028,-1,200,66,6,3568750
20210829 195140,-1,200,100,6,3332500
20210829 195304,-1,10,1,7,3853750
20210829 195425,-1,10,2,7,4062500
20210829 195546,-1,10,3,7,3835000
20210829 195708,-1,10,4,7,3907500
20210829 195831,-1,10,5,7,3981250
20210829 195952,-1,15,1,7,3851250
20210829 200113,-1,15,2,7,4098750
20210829 200241,-1,15,3,7,3873750
20210829 200402,-1,15,4,7,3898750
20210829 201108,-1,15,5,7,3960000
20210829 201246,-1,15,7,7,3811250
20210829 201413,-1,20,1,7,3976250
20210829 201540,-1,20,2,7,4172500
20210829 201707,-1,20,3,7,3946250
20210829 201834,-1,20,4,7,3965000
20210829 202001,-1,20,5,7,4026250
20210829 202128,-1,20,6,7,3930000
20210829 202258,-1,20,10,7,3561250
20210829 202426,-1,30,1,7,3965000
20210829 202552,-1,30,2,7,4161250
20210829 202718,-1,30,3,7,3933750
20210829 202847,-1,30,4,7,3991250
20210829 203017,-1,30,5,7,4042500
20210829 203144,-1,30,6,7,4068750
20210829 203318,-1,30,10,7,3562500
20210829 203444,-1,30,15,7,3351250
20210829 203610,-1,50,1,7,3965000
20210829 203737,-1,50,2,7,4161250
20210829 203903,-1,50,3,7,3951250
20210829 204030,-1,50,4,7,4043750
20210829 204158,-1,50,5,7,4037500
20210829 204326,-1,50,10,7,3577500
20210829 204454,-1,50,16,7,3357500
20210829 204621,-1,50,25,7,3257500
20210829 204747,-1,100,1,7,3955000
20210829 204913,-1,100,2,7,4158750
20210829 205040,-1,100,3,7,3938750
20210829 205209,-1,100,4,7,4037500
20210829 205336,-1,100,5,7,4062500
20210829 205504,-1,100,10,7,3706250
20210829 205631,-1,100,20,7,3417500
20210829 205757,-1,100,33,7,3283750
20210829 205926,-1,100,50,7,3582500
20210829 210053,-1,150,1,7,3900000
20210829 210227,-1,150,2,7,4130000
20210829 210353,-1,150,3,7,3878750
20210829 210520,-1,150,4,7,3966250
20210829 210646,-1,150,5,7,4046250
20210829 210812,-1,150,15,7,3225000
20210829 210939,-1,150,30,7,3052500
20210829 211108,-1,150,50,7,3416250
20210829 211239,-1,150,75,7,2933750
20210829 211405,-1,200,1,7,3897500
20210829 211532,-1,200,2,7,4127500
20210829 211658,-1,200,3,7,3897500
20210829 211824,-1,200,4,7,3973750
20210829 211951,-1,200,5,7,4006250
20210829 212118,-1,200,20,7,3231250
20210829 212248,-1,200,40,7,3397500
20210829 212417,-1,200,66,7,3416250
20210829 212544,-1,200,100,7,3212500
20210829 212721,-1,10,1,8,3706250
20210829 212859,-1,10,2,8,4087500
20210829 213039,-1,10,3,8,3945000
20210829 213223,-1,10,4,8,3998750
20210829 213404,-1,10,5,8,4198750
20210829 213540,-1,15,1,8,3691250
20210829 213717,-1,15,2,8,4117500
20210829 213855,-1,15,3,8,3977500
20210829 214032,-1,15,4,8,3982500
20210829 214213,-1,15,5,8,4170000
20210829 214351,-1,15,7,8,3553750
20210829 214528,-1,20,1,8,3805000
20210829 214705,-1,20,2,8,4170000
20210829 214841,-1,20,3,8,4020000
20210829 215018,-1,20,4,8,4002500
20210829 215200,-1,20,5,8,4190000
20210829 215338,-1,20,6,8,3748750
20210829 215515,-1,20,10,8,3226250
20210829 215651,-1,30,1,8,3782500
20210829 215828,-1,30,2,8,4145000
20210829 220006,-1,30,3,8,3988750
20210829 220143,-1,30,4,8,3996250
20210829 220327,-1,30,5,8,4175000
20210829 220504,-1,30,6,8,3843750
20210829 220641,-1,30,10,8,3233750
20210829 220818,-1,30,15,8,3428750
20210829 220954,-1,50,1,8,3808750
20210829 221130,-1,50,2,8,4176250
20210829 221309,-1,50,3,8,4070000
20210829 221447,-1,50,4,8,4053750
20210829 221625,-1,50,5,8,4223750
20210829 221802,-1,50,10,8,3407500
20210829 221939,-1,50,16,8,3243750
20210829 222117,-1,50,25,8,2942500
20210829 222257,-1,100,1,8,3787500
20210829 222434,-1,100,2,8,4160000
20210829 222610,-1,100,3,8,4037500
20210829 222746,-1,100,4,8,4e+06
20210829 222925,-1,100,5,8,4230000
20210829 223106,-1,100,10,8,3522500
20210829 223250,-1,100,20,8,3076250
20210829 223427,-1,100,33,8,3158750
20210829 223605,-1,100,50,8,3435000
20210829 223741,-1,150,1,8,3883750
20210829 223917,-1,150,2,8,4287500
20210829 224059,-1,150,3,8,4001250
20210829 224240,-1,150,4,8,4037500
20210829 224417,-1,150,5,8,4225000
20210829 224557,-1,150,15,8,3026250
20210829 224736,-1,150,30,8,2775000
20210829 224915,-1,150,50,8,3152500
20210829 225054,-1,150,75,8,2973750
20210829 225236,-1,200,1,8,3881250
20210829 225413,-1,200,2,8,4285000
20210829 225551,-1,200,3,8,4011250
20210829 225734,-1,200,4,8,4057500
20210829 225906,-1,200,5,8,4241250
20210829 230040,-1,200,20,8,2987500
20210829 230217,-1,200,40,8,3357500
20210829 230350,-1,200,66,8,3202500
20210829 230523,-1,200,100,8,3181250
20210829 230714,-1,10,1,10,3736250
20210829 230905,-1,10,2,10,3698750
20210829 231057,-1,10,3,10,3742500
20210829 231251,-1,10,4,10,3571250
20210829 231443,-1,10,5,10,3733750
20210829 231635,-1,15,1,10,3693750
20210829 231827,-1,15,2,10,3752500
20210829 232018,-1,15,3,10,3783750
20210829 232212,-1,15,4,10,3522500
20210829 232403,-1,15,5,10,3660000
20210829 232555,-1,15,7,10,3472500
20210829 232746,-1,20,1,10,3777500
20210829 232938,-1,20,2,10,3772500
20210829 233131,-1,20,3,10,3805000
20210829 233328,-1,20,4,10,3522500
20210829 233519,-1,20,5,10,3640000
20210829 233710,-1,20,6,10,3470000
20210829 233903,-1,20,10,10,3087500
20210829 234054,-1,30,1,10,3791250
20210829 234247,-1,30,2,10,3765000
20210829 234440,-1,30,3,10,3886250
20210829 234632,-1,30,4,10,3523750
20210829 234823,-1,30,5,10,3625000
20210829 235015,-1,30,6,10,3578750
20210829 235209,-1,30,10,10,3002500
20210829 235401,-1,30,15,10,3422500
20210829 235553,-1,50,1,10,3765000
20210829 235745,-1,50,2,10,3730000
20210829 235936,-1,50,3,10,3952500
20210830 000128,-1,50,4,10,3552500
20210830 000326,-1,50,5,10,3590000
20210830 000518,-1,50,10,10,3307500
20210830 000709,-1,50,16,10,3278750
20210830 000903,-1,50,25,10,2643750
20210830 001057,-1,100,1,10,3701250
20210830 001250,-1,100,2,10,3730000
20210830 001441,-1,100,3,10,3960000
20210830 001633,-1,100,4,10,3547500
20210830 001826,-1,100,5,10,3638750
20210830 002018,-1,100,10,10,3232500
20210830 002212,-1,100,20,10,3053750
20210830 002403,-1,100,33,10,3106250
20210830 002555,-1,100,50,10,2282500
20210830 002746,-1,150,1,10,3886250
20210830 002937,-1,150,2,10,3965000
20210830 003130,-1,150,3,10,4057500
20210830 003326,-1,150,4,10,3740000
20210830 003518,-1,150,5,10,3790000
20210830 003709,-1,150,15,10,2755000
20210830 003901,-1,150,30,10,2683750
20210830 004052,-1,150,50,10,1963750
20210830 004245,-1,150,75,10,873750
20210830 004436,-1,200,1,10,3850000
20210830 004628,-1,200,2,10,3961250
20210830 004819,-1,200,3,10,4031250
20210830 005009,-1,200,4,10,3753750
20210830 005203,-1,200,5,10,3742500
20210830 005354,-1,200,20,10,2982500
20210830 005545,-1,200,40,10,2723750
20210830 005737,-1,200,66,10,1717500
20210830 005929,-1,200,100,10,1683750
20210830 080301,0,50,5,4,1443750
20210830 080404,0,50,10,4,990000
20210830 080505,0,50,16,4,990000
20210830 080601,0,50,25,4,0
20210830 080656,0,100,10,4,406250
20210830 080753,0,100,20,4,0
20210830 080847,0,100,33,4,0
20210830 080942,0,100,50,4,0
20210830 081036,0,150,15,4,406250
20210830 081130,0,150,30,4,0
20210830 081226,0,150,50,4,0
20210830 081320,0,150,75,4,0
20210830 081414,0,200,20,4,0
20210830 081509,0,200,40,4,0
20210830 081603,0,200,66,4,0
20210830 081657,0,200,100,4,0
20210830 081751,0,300,30,4,0
20210830 081844,0,300,60,4,0
20210830 081938,0,300,100,4,0
20210830 082032,0,300,150,4,0
20210830 082126,0,400,40,4,0
20210830 082223,0,400,80,4,0
20210830 082316,0,400,133,4,0
20210830 082411,0,400,200,4,0
20210830 082517,0,50,5,5,2778750
20210830 082624,0,50,10,5,2410000
20210830 082728,0,50,16,5,2465000
20210830 082831,0,50,25,5,0
20210830 082936,0,100,10,5,1827500
20210830 083041,0,100,20,5,453750
20210830 083145,0,100,33,5,0
20210830 083255,0,100,50,5,0
20210830 083359,0,150,15,5,1881250
20210830 083503,0,150,30,5,0
20210830 083607,0,150,50,5,0
20210830 083710,0,150,75,5,0
20210830 083814,0,200,20,5,453750
20210830 083918,0,200,40,5,0
20210830 084022,0,200,66,5,0
20210830 084126,0,200,100,5,0
20210830 084233,0,300,30,5,0
20210830 084342,0,300,60,5,0
20210830 084450,0,300,100,5,0
20210830 084559,0,300,150,5,0
20210830 084721,0,400,40,5,0
20210830 084833,0,400,80,5,0
20210830 084939,0,400,133,5,0
20210830 085043,0,400,200,5,0
20210830 085201,0,50,5,6,2778750
20210830 085317,0,50,10,6,2410000
20210830 085431,0,50,16,6,2465000
20210830 085545,0,50,25,6,0
20210830 085700,0,100,10,6,1827500
20210830 085815,0,100,20,6,453750
20210830 085929,0,100,33,6,0
20210830 090046,0,100,50,6,0
20210830 090209,0,150,15,6,1881250
20210830 090326,0,150,30,6,0
20210830 090440,0,150,50,6,0
20210830 090555,0,150,75,6,0
20210830 090710,0,200,20,6,453750
20210830 090825,0,200,40,6,0
20210830 090939,0,200,66,6,0
20210830 091053,0,200,100,6,0
20210830 091209,0,300,30,6,0
20210830 091323,0,300,60,6,0
20210830 091436,0,300,100,6,0
20210830 091551,0,300,150,6,0
20210830 091704,0,400,40,6,0
20210830 091819,0,400,80,6,0
20210830 091933,0,400,133,6,0
20210830 092048,0,400,200,6,0
20210830 092214,0,50,5,7,3360000
20210830 092338,0,50,10,7,2888750
20210830 092502,0,50,16,7,2626250
20210830 092627,0,50,25,7,0
20210830 092751,0,100,10,7,1827500
20210830 092915,0,100,20,7,453750
20210830 093039,0,100,33,7,0
20210830 093207,0,100,50,7,0
20210830 093334,0,150,15,7,1881250
20210830 093457,0,150,30,7,0
20210830 093621,0,150,50,7,0
20210830 093746,0,150,75,7,0
20210830 093910,0,200,20,7,453750
20210830 094034,0,200,40,7,0
20210830 094159,0,200,66,7,0
20210830 094323,0,200,100,7,0
20210830 094447,0,300,30,7,0
20210830 094612,0,300,60,7,0
20210830 094736,0,300,100,7,0
20210830 094900,0,300,150,7,0
20210830 095024,0,400,40,7,0
20210830 095149,0,400,80,7,0
20210830 095314,0,400,133,7,0
20210830 095438,0,400,200,7,0
20210830 095613,0,50,5,8,3676250
20210830 095747,0,50,10,8,2888750
20210830 095921,0,50,16,8,2626250
20210830 100056,0,50,25,8,0
20210830 100236,0,100,10,8,1827500
20210830 100410,0,100,20,8,453750
20210830 100544,0,100,33,8,0
20210830 100718,0,100,50,8,0
20210830 100852,0,150,15,8,1881250
20210830 101026,0,150,30,8,0
20210830 101202,0,150,50,8,0
20210830 101336,0,150,75,8,0
20210830 101509,0,200,20,8,453750
20210830 101643,0,200,40,8,0
20210830 101817,0,200,66,8,0
20210830 101951,0,200,100,8,0
20210830 102124,0,300,30,8,0
20210830 102302,0,300,60,8,0
20210830 102435,0,300,100,8,0
20210830 102609,0,300,150,8,0
20210830 102743,0,400,40,8,0
20210830 102916,0,400,80,8,0
20210830 103051,0,400,133,8,0
20210830 103230,0,400,200,8,0
20210830 103423,0,50,5,10,4256250
20210830 103617,0,50,10,10,3740000
